deck,deck_label,deck_title,deck_order,section,no,word,phonetic,word_family,meaning,example,tone,memory,deriv,syn,ant,similar
book,词书,GRE1400 词书,1,Section 1（1-140）,29,acclaim,/əˈkleɪm/,acclaim（v./n. 称赞，喝彩）,v./n.称赞，喝彩,receive public acclaim｜获得公众赞誉,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,30,acclimate,/ˈækləˌmeɪt/,acclimate（v. 适应）→ acclimation（n. 适应）,v.使适应,acclimate to the climate｜适应气候,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,31,accolade,/ˈækəˌleɪd/,accolade（n. 赞赏，荣誉）,n.赞赏，荣誉,win an accolade｜获得荣誉,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,32,accommodate,/əˈkɑməˌdeɪt/,accommodate（v. 容纳；适应）→ accommodation（n. 容纳；适应；住宿）,v.容纳；使适应；调解；提供住宿,accommodate guests｜接待客人,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,33,accord,/əˈkɔrd/,accord（n. 和谐，一致，协议）,n.和谐，一致，协议,reach an accord｜达成协议,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,34,accost,/əˈkɔst/,accost（v. 不怀好意地搭讪）,v.不怀好意地搭讪,accost a stranger｜搭讪陌生人,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,35,accountable,/əˈkaʊntəbəl/; /əˈkaʊnəbəl/,account（n./v. 说明；账户）→ accountable（adj. 负有责任的）→ accountability（n. 问责；责任）,adj.有责任的；adj.可解释的,be accountable for mistakes｜对错误负责,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,36,accrete,/əˈkriːt/,accrete（v. 逐渐增长）,v.逐渐增长,accrete over time｜逐渐积累,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,37,accustom,/əˈkʌstəm/,accustom（v. 使习惯于）→ accustomed（adj. 习惯的）,v.使习惯于,accustom oneself to change｜使自己习惯变化,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,38,accustomed,/əˈkʌstəmd/,accustom（v. 使习惯于）→ accustomed（adj. 习惯的）,adj.习惯的,an accustomed situation｜习惯的情况,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,39,acerbic,/əˈsɛrbɪk/,acerbic（adj. 尖刻的）,adj.尖刻的,acerbic remarks｜尖刻的评论,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,40,acknowledge,/æˈknɑlɪdʒ/,acknowledge（v. 承认，确认，答谢）,v.承认，确认，答谢,acknowledge the mistake｜承认错误,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,41,acme,/ˈækmiː/,acme（n. 顶点，极点）,n.顶点，极点,reach the acme of fame｜达到名望顶峰,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,42,acolyte,/ˈækəˌlaɪt/,acolyte（n. 助手，追随者）,n.助手，追随者,a loyal acolyte｜忠实追随者,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,43,acoustic,/əˈkuːstɪk/,acoustic（adj. 声音的，听觉的）,adj.声音的，听觉的,acoustic signals｜声学信号,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,44,acquaintance,/əˈkweɪntəns/,acquaintance（n. 熟人）,n.熟人,a casual acquaintance｜泛泛之交,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,45,acquiesce,/ˌækwiːˈɛs/,acquiesce（v. 默许；顺从）→ acquiescence（n. 默许；顺从）,v.默许，勉强同意,acquiesce in the decision｜默许这个决定,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,46,acquiescence,/ˌækwiːˈɛsəns/,acquiesce（v. 默许；顺从）→ acquiescence（n. 默许；顺从）,n.默许,silent acquiescence｜沉默的默许,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,47,acquisitive,/əˈkwɪzətɪv/,acquire（v. 获得）→ acquisition（n. 获得；收购）→ acquisitive（adj. 贪得的；想获得的）,adj.贪得无厌的,an acquisitive society｜贪得无厌的社会,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,48,activism,/ˈæktɪˌvɪzəm/,active（adj. 积极的）→ activism（n. 行动主义）→ activist（n. 行动主义者）,n.行动主义，激进主义,political activism｜政治行动主义,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,49,acumen,/əˈkjuːmən/,acumen（n. 敏锐；聪明；洞察力）,n.敏锐；聪明；洞察力,business acumen｜商业敏锐度,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,50,acute,/əˈkjuːt/,acute（adj. 严重的；敏锐的；急性的）,adj.严重的；敏锐的；急性的,an acute crisis｜严峻危机,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,51,ad hoc,/ˈæd ˈhɑk/,ad hoc（adj./adv. 特别的，临时的）,adj./adv.特别的，临时的,an ad hoc committee｜临时委员会,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,52,addict,/əˈdɪkt/; /ˈæˌdɪkt/,addict（n. 上瘾者；v.使沉溺，使上瘾）,n.上瘾者；v.使沉溺，使上瘾,drug addict｜吸毒成瘾者,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,53,adequate,/ˈædəkwət/; /ˈædəˌkweɪt/,adequate（adj. 足够的；适当的）→ adequacy（n. 充分；适当）,adj.足够的，适当的,adequate evidence｜足够的证据,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,54,admirable,/ˈædmɚəbəl/; /ˈædmrəbəl/,admire（v. 钦佩）→ admirable（adj. 令人钦佩的）→ admiration（n. 钦佩）,adj.令人钦佩的，极好的,an admirable effort｜令人钦佩的努力,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,55,admonish,/æˈdmɑnɪʃ/,admonish（v. 告诫；警告）→ admonition（n. 告诫；警告）,v.告诫，警告；劝告,admonish the student｜告诫学生,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,56,adopt,/əˈdɑpt/,adopt（v. 采纳；收养）→ adoption（n. 采纳；收养）,v.采纳，采用，收养,adopt a policy｜采纳政策,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,57,adroit,/əˈdrɔɪt/,adroit（adj. 灵巧的；机敏的）→ adroitness（n. 灵巧；机敏）,adj.灵巧的，机敏的,an adroit negotiator｜机敏的谈判者,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,58,adulation,/ˌædʒəˈleɪʃən/,adulate（v. 谄媚；奉承）→ adulation（n. 谄媚；奉承）,n.奉承，谄媚,public adulation｜公众的过度追捧,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,59,advanced,/əˈdvænst/,advance（v./n. 前进；进步）→ advanced（adj. 先进的；高级的）,adj.先进的；高级的；晚期的,advanced technology｜先进技术,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,60,advantageous,/ˌædvəˈnteɪdʒəs/,advantage（n. 优势）→ advantageous（adj. 有利的）,adj.有利的，有益的,an advantageous position｜有利地位,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,61,adversarial,/ˌædvɚˈsɛriːəl/,adversary（n. 对手；敌手）→ adversarial（adj. 对抗性的；敌对的）,adj.敌对的，对抗性的,an adversarial relationship｜对抗关系,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,62,adverse,/æˈdvɝs/; /ˈæˌdvɝs/,adverse（adj. 不利的；有害的）→ adversity（n. 逆境；不利情况）,adj.不利的，有害的；敌对的,adverse effects｜不利影响,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,63,advocate,/ˈædvəkət/; /ˈædvəˌkeɪt/,advocate（v. 提倡；n. 倡导者）→ advocacy（n. 倡导；支持）,v.提倡，主张；n.拥护者；律师,advocate reform｜倡导改革,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,64,aesthetic,/ɛˈsθɛtɪk/,aesthetic（adj. 美学的；审美的）→ aesthetics（n. 美学；审美观）,adj.美学的，审美的；n.美感,aesthetic value｜审美价值,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,65,affable,/ˈæfəbəl/,affable（adj. 和蔼可亲的）→ affability（n. 和蔼；亲切）,adj.和蔼可亲的，友善的,an affable host｜和蔼的主人,褒义-友好/温和,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,66,affiliate,/əˈfɪliːˌeɪt/; /əˈfɪliːət/,affiliate（v. 使隶属；加入）→ affiliation（n. 隶属关系；联系）,v.使附属；加入；n.附属机构，成员,affiliate with the university｜附属于大学,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,67,affinity,/əˈfɪnətiː/; /əˈfɪnɪtiː/,affinity（n. 喜爱，亲和力；类同）,n.喜爱，亲和力；类同,a case of affinity｜一个关于喜爱，亲和力的例子,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,68,affirm,/əˈfɝm/,affirm（v. 肯定；证实）→ affirmation（n. 肯定；确认）,v.肯定，确认；证实,affirm the principle｜确认原则,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,69,affluent,/ˈæfluːənt/,affluent（adj. 富裕的）→ affluence（n. 富裕）,adj.富裕的，丰富的,an affluent neighborhood｜富裕社区,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,70,aggravate,/ˈægrəˌveɪt/,aggravate（v. 加重；恶化）→ aggravation（n. 加重；恶化）,v.加重，使恶化,aggravate the problem｜加重问题,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,71,aghast,/əˈgæst/,aghast（adj. 惊骇的，吓呆的）,adj.惊骇的，吓呆的,stand aghast｜惊愕地站着,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,72,alacrity,/əˈlækrətiː/,alacrity（n. 敏捷；爽快）,n.敏捷，爽快,with alacrity｜欣然/迅速地,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,73,alarmist,/əˈlɑrməst/; /əˈlɑrmɪst/,alarm（n./v. 警报；使惊恐）→ alarmist（n./adj. 危言耸听者；危言耸听的）,n.危言耸听者；adj.alarmist,alarmist warnings｜危言耸听的警告,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,74,albeit,/ɔˈlbiːɪt/,albeit（conj. 尽管，虽然）,conj.尽管，虽然,albeit briefly｜虽然很简短,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,75,alien,/ˈeɪliːən/,alien（adj. 外国的；陌生的；n.外国人；外星人）,adj.外国的；陌生的；n.外国人；外星人,an alien concept｜陌生概念,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,76,all-encompassing,/ˈɔl-ɛˈnkʌmpəsɪŋ/,all-encompassing（adj. 包罗万象的）,adj.包罗万象的,an all-encompassing plan｜包罗万象的计划,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,77,alleviate,/əˈliːviːˌeɪt/,alleviate（v. 减轻；缓解）→ alleviation（n. 减轻；缓解）,v.减轻，缓解,alleviate suffering｜减轻痛苦,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,78,all-important,/ˈɔl-ˌɪˈmpɔrtənt/,all-important（adj. 至关重要的，首要的）,adj.至关重要的，首要的,the all-important question｜至关重要的问题,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,79,allure,/əˈlʊr/,allure（n./v. 吸引；诱惑）→ alluring（adj. 诱人的）,v./n.诱惑，吸引,the allure of fame｜名声的诱惑力,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,80,alternative,/ɔˈltɝnətɪv/,alternative（adj. 可供选择的；n.选择，替代品）,adj.可供选择的；n.选择，替代品,an alternative plan｜替代方案,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,81,altruistic,/ˌɔltruːˈɪstɪk/,altruism（n. 利他主义）→ altruistic（adj. 利他的）,adj.利他的，无私的,an altruistic act｜无私的行为,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,82,ambiguous,/æˈmbɪgjuːəs/,ambiguous（adj. 模糊的；有歧义的）→ ambiguity（n. 模糊；歧义）,adj.含糊不清的，引起歧义的,an ambiguous answer｜模棱两可的回答,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,83,ambivalent,/æˈmbɪvələnt/,ambivalent（adj. 矛盾的；摇摆的）→ ambivalence（n. 矛盾心理）,adj.矛盾情绪的，摇摆不定的,be ambivalent about the plan｜对计划心情矛盾,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,84,ameliorate,/əˈmiːljɚˌeɪt/,ameliorate（v. 改善；缓和）→ amelioration（n. 改善；缓和）,v.改善，减轻,ameliorate conditions｜改善状况,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,85,anachronistic,/əˌnækrəˈnɪstɪk/,anachronism（n. 时代错误）→ anachronistic（adj. 时代错误的）,adj.时代错误的，不合时宜的,anachronistic customs｜过时的习俗,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,86,analogous,/əˈnæləgəs/,analogy（n. 类比）→ analogous（adj. 类似的；可类比的）,adj.类似的，相似的,analogous cases｜类似案例,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,87,anathema,/əˈnæθəmə/,anathema（n. 令人极其讨厌的事；被诅咒者）,n.令人极其讨厌的事；被诅咒者,anathema to conservatives｜令保守派厌恶的东西,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,88,anchor,/ˈæŋkɚ/,anchor（n. 锚，精神支柱；v.抛锚固定，使稳定）,n.锚，精神支柱；v.抛锚固定，使稳定,anchor the policy in law｜使政策以法律为基础,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,89,anecdote,/ˈænəˌkdoʊt/,anecdote（n. 轶事，趣闻）,n.轶事，趣闻,a brief anecdote｜简短轶事,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,90,animadversion,/ˌænɪmædˈvɝːʒən/,animadversion（n. 批评，谴责）,n.批评，谴责,harsh animadversion｜严厉批评,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,91,animate,/ˈænəmət/; /ˈænəˌmeɪt/,animate（v. 使有生命；激发）→ animation（n. 活力；动画）,v.使有生气，激励；adj.有生命的,animate the discussion｜使讨论活跃起来,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,92,annihilate,/əˈnaɪəˌleɪt/,annihilate（v. 消灭，歼灭；彻底击败）→ annihilation（n. 消灭，歼灭；彻底击败）,v.消灭，歼灭；彻底击败,annihilate the enemy｜彻底消灭敌人,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,93,anomaly,/əˈnɑməliː/,anomaly（n. 异常）→ anomalous（adj. 异常的）,n.异常；反常事物,a statistical anomaly｜统计异常值,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,94,anonymous,/əˈnɑnəməs/,anonymous（adj. 匿名的）→ anonymity（n. 匿名）,adj.匿名的,an anonymous donor｜匿名捐赠者,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,95,antagonize,/æˈntægəˌnaɪz/,antagonist（n. 对手；反派）→ antagonize（v. 激怒；敌对）→ antagonism（n. 对抗；敌意）,v.对抗，敌对；激怒,antagonize the public｜激怒公众,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,96,antedate,/ˈæntideɪt/,antedate（v. 在日期上早于，先于）→ antedation（n. 在日期上早于，先于）,v.在日期上早于，先于,antedate the discovery｜早于这项发现,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,97,antediluvian,/ˌæntidɪˈluːviən/,antediluvian（adj. 远古的；陈旧的，过时的）,adj.远古的；陈旧的，过时的,antediluvian attitudes｜陈旧过时的态度,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,98,anthropogenic,/ˌænθrəpəˈdʒɛnɪk/,anthropogenic（adj. 人为的，人类活动产生的）,adj.人为的，人类活动产生的,anthropogenic pollution｜人为污染,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,99,anticipate,/æˈntɪsəˌpeɪt/,anticipate（v. 预料；预期）→ anticipation（n. 预期；期待）,v.预期，预料；先于…行动,anticipate difficulties｜预料到困难,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,100,antithesis,/æˈntɪθəsəs/,antithesis（n. 对立面；对照）,n.对立面；对照,the antithesis of freedom｜自由的对立面,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,101,apathy,/ˈæpəθiː/,apathy（n. 冷漠，无动于衷）,n.冷漠，无动于衷,public apathy｜公众冷漠,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,102,aplomb,/əˈplɑm/,aplomb（n. 沉着，镇静；垂直）,n.沉着，镇静；垂直,a case of aplomb｜一个关于沉着，镇静的例子,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,103,apocryphal,/əˈpɑkrəfəl/,apocryphal（adj. 虚假的，可疑的；伪经的）,adj.虚假的，可疑的；伪经的,an apocryphal statement｜虚假的，可疑的陈述,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,104,apology,/əˈpɑləˌdʒiː/,apology（n. 道歉；辩护；辩解）,n.道歉；辩护；辩解,a case of apology｜一个关于道歉，辩护的例子,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,105,appetite,/ˈæpəˌtaɪt/,appetite（n. 食欲；欲望）,n.食欲；欲望,a case of appetite｜一个关于食欲，欲望的例子,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,106,appropriate,/əˈproʊpriːət/; /əˈproʊpriːˌeɪt/,appropriate（adj. 适当的；v.拨款；占用）,adj.适当的；v.拨款；占用,appropriate funds｜拨款/挪用资金,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,107,approximate,/əˈprɑksəmət/; /əˈprɑksəˌmeɪt/,approximate（adj. 近似的；v.近似；估计）,adj.近似的；v.近似；估计,approximate the cost｜估算成本,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,108,apt,/ˈæpt/,apt（adj. 恰当的；聪明的；有…倾向的）,adj.恰当的；聪明的；有…倾向的,an apt description｜恰当的描述,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,109,arbitrary,/ˈɑrbəˌtrɛriː/; /ˈɑrbɪˌtrɛriː/,arbitrary（adj. 任意的，武断的）,adj.任意的，武断的,an arbitrary decision｜武断的决定,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,110,arcane,/ˌɑˈrkeɪn/,arcane（adj. 神秘的，晦涩难懂的）,adj.神秘的，晦涩难懂的,arcane rules｜晦涩难懂的规则,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,111,archaic,/ɑˈrkeɪɪk/,archaic（adj. 古老的，过时的）,adj.古老的，过时的,archaic language｜古旧的语言,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,112,archetype,/ˈɑrkɪˌtaɪp/,archetype（n. 原型，典型）,n.原型，典型,a case of archetype｜一个关于原型，典型的例子,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,113,arouse,/ɚˈaʊz/,arouse（v. 唤醒；引起；激起）,v.唤醒；引起；激起,arouse interest｜激起兴趣,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,114,arrest,/ɚˈɛst/,arrest（v./n. 逮捕；阻止；吸引）,v./n.逮捕；阻止；吸引,arrest his attention｜吸引他的注意,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,115,arrogant,/ˈɛrəgənt/,arrogant（adj. 傲慢的，自大的）,adj.傲慢的，自大的,an arrogant attitude｜傲慢的态度,贬义-人品/态度,,,,,
